Card   1: 13  4 61 82 80 41 31 53 50  2 | 38 89 26 79 94 50  2 74 31 92 80 41 13 97 61 82 68 45 64 39  4 53 90 84 54
Card   2: 25 44 86 77 98 91 55 39 63 12 | 84 62 55 28 99 26 19 18 13 57 97 63 20 65 24 31 72 41 77 27 50 30 38  3 88
Card   3: 96 46 60 19 82 25 41 29 38 94 | 43 82 86 74 16 15 92 46 32  3 17 30 42 98 60 12 96 38 19 35  6 29 72 25 62
Card   4: 19 55 20 50 57 36 61 35 59 75 | 75 11 94 28 49 59 38 32 55 35 61 68 29 36 97 57 50 20 70 52 13 53 87 19 42
Card   5: 63  6 84 48 45 55 43 86 33 60 | 68 99 84 24 23 39 48 87 60  1 12 43 21 85 54 88 36 67 81 77 13 96  6 86 55
Card   6: 57 24 81 65 12 13 58 30 33  4 | 78 96 50 92  3 47 22 99 28 31 46 98 93 77 49 68 90 25 51 21 16 83 26 23 36
Card   7: 68 80 65 13 23 61 28 77 42 47 | 76 93 52 13 61 65 21 14 68 81 79 47 11 28 77 92 40 80 69 89 55 32 23 85 42
Card   8: 19 24 80 12 94 32 53 20 57 72 | 30  2 79 19 95 89 29  4 35 87 15 78 13 33 51 17 21 53 68 90 67 72 26 40 28
Card   9: 28 30  5 92 48  7 54 39 90 31 | 10 93  6 42 41 66 40 90 56 54 48 47 87 27 59  7 30 39  5 99 92 85  3 28 35
Card  10: 84 75 46 44 99 60 14 47 56  3 | 19 99 47 41 84 12 82 45 98 40 43 92 60 75 44 76  3 17 54 46 14 56 61 63 95
